Level	Date and Time	Source	Event ID	Task Category
Information	25/06/2022 22:28:20	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:28:20.265
ProcessGuid: {df655c70-61d4-62b7-e404-000000005201}
ProcessId: 24496
Image: C:\Users\chrsm\AppData\Local\Programs\Opera\opera.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:28:20	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:28:20.221
ProcessGuid: {df655c70-61d4-62b7-e304-000000005201}
ProcessId: 10540
Image: C:\Users\chrsm\AppData\Local\Programs\Opera\opera.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:27:43	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:27:43.854
ProcessGuid: {df655c70-61af-62b7-ca04-000000005201}
ProcessId: 10616
Image: C:\Users\chrsm\AppData\Local\Programs\Opera\opera.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:27:43	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
RuleName: Sysmon_Event_3(NetworkConnect)
UtcTime: 2022-06-25 19:27:41.996
ProcessGuid: {df655c70-4174-62b7-eb03-000000000000}
ProcessId: 4
Image: System
User: NT AUTHORITY\SYSTEM
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.1.5
SourceHostname: LAPTOP-ROPR18AK
SourcePort: 137
SourcePortName: netbios-ns
DestinationIsIpv6: false
DestinationIp: 52.109.88.36
DestinationHostname: -
DestinationPort: 137
DestinationPortName: netbios-ns"
Information	25/06/2022 22:27:35	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:27:35.285
ProcessGuid: {df655c70-6176-62b7-6a04-000000005201}
ProcessId: 12328
Image: C:\Users\chrsm\AppData\Local\Programs\Microsoft VS Code\Code.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:27:35	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:27:35.272
ProcessGuid: {df655c70-6174-62b7-6504-000000005201}
ProcessId: 22332
Image: C:\Users\chrsm\AppData\Local\Programs\Microsoft VS Code\Code.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:27:35	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:27:35.230
ProcessGuid: {df655c70-6176-62b7-6b04-000000005201}
ProcessId: 22356
Image: C:\Users\chrsm\AppData\Local\Programs\Microsoft VS Code\Code.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:27:35	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:27:35.224
ProcessGuid: {df655c70-6176-62b7-6c04-000000005201}
ProcessId: 7840
Image: C:\Users\chrsm\AppData\Local\Programs\Microsoft VS Code\Code.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:27:35	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:27:35.212
ProcessGuid: {df655c70-619d-62b7-c204-000000005201}
ProcessId: 19172
Image: C:\Users\chrsm\AppData\Local\Programs\Microsoft VS Code\Code.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:27:35	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:27:35.212
ProcessGuid: {df655c70-61a5-62b7-c804-000000005201}
ProcessId: 24400
Image: C:\Users\chrsm\AppData\Local\Programs\Microsoft VS Code\Code.exe
User: LAPTOP-ROPR18AK\chrsm"
